Original test utterance,Compensated for Kaldi NL
ik wil naar het erasmusgebouw,ik wil naar het erasmus gebouw
ik moet richting het huygensgebouw,ik moet richting het huigens gebouw
ik ga naar mercator,ik ga naar mercator
ik moet naar het spinozagebouw,ik moet naar het spinoza gebouw
zou je mij naar mercator kunnen brengen,zou je mij naar mercator kunnen brengen
zou je mij naar het erasmusgebouw kunnen brengen,zou je mij naar het erasmus gebouw kunnen brengen
je mag me bij het radboud ziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten
ik wil er bij het centraal station uit,ik wil er bij het centraal station uit
hoe laat zijn we er,hoe laat zijn we er
hoe laat kom ik aan,hoe laat kom ik aan
hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming
wat is de aankomsttijd,wat is de aankomsttijd
hoe lang duurt het nog,hoe lang duurt het nog
kun je omkeren,kun je omkeren
ik moet terug,ik moet terug
keer terug naar het startpunt,keer terug naar het startpunt
wat is de volgende halte,wat is de volgende halte
wat is de volgende stop,wat is de volgende stop
waar stoppen we zometeen,waar stoppen we zometeen
waar zijn we nu,waar zijn we nu
hoe heet het hier,hoe heet het hier
wat is de huidige locatie,wat is de huidige locatie
ik wil graag een tussenstop,ik wil graag een tussenstop
hoeveel kost de reis,hoeveel kost de reis
hoe duur is het,hoe duur is het
hoeveel moet ik betalen,hoeveel moet ik betalen
kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken
kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken
kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf
kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur
